age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_bracket
47, Private, 10th,6, Widowed, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, 10th,6, Widowed, Machine-op-inspct, Not-in-family, Black, Male,0,1590,40, United-States, <=50K
70, Private, 10th,6, Widowed, Craft-repair, Unmarried, White, Male,0,0,45, United-States, <=50K
59, Self-emp-inc, 10th,6, Widowed, Exec-managerial, Unmarried, White, Female,0,2559,50, United-States, >50K
74, Private, 10th,6, Widowed, Other-service, Not-in-family, Black, Female,0,0,6, United-States, <=50K
63, Private, 10th,6, Widowed, Other-service, Not-in-family, White, Female,0,0,31, United-States, <=50K
63, Private, 10th,6, Widowed, Farming-fishing, Unmarried, White, Female,0,0,56, United-States, <=50K
66, Private, 10th,6, Widowed, Transport-moving, Not-in-family, White, Female,0,0,11, United-States, <=50K
73, Private, 10th,6, Widowed, Other-service, Not-in-family, White, Female,0,0,10, United-States, <=50K
76, Private, 10th,6, Widowed, Sales, Unmarried, Black, Female,0,0,12, United-States, <=50K
65, Private, 10th,6, Widowed, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
72, Private, 10th,6, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
68, Private, 10th,6, Widowed, Other-service, Unmarried, Black, Female,0,0,20, United-States, <=50K
51, Local-gov, 10th,6, Widowed, Other-service, Not-in-family, White, Female,0,0,24, United-States, <=50K
59, Local-gov, 10th,6, Widowed, Other-service, Unmarried, Black, Female,0,0,30, United-States, <=50K
28, Private, 10th,6, Widowed, Adm-clerical, Unmarried, White, Female,0,2238,35, United-States, <=50K
55, Private, 10th,6, Widowed, Transport-moving, Not-in-family, Black, Female,0,0,35, United-States, <=50K
73, Self-emp-inc, 10th,6, Widowed, Sales, Unmarried, White, Female,0,0,40, Canada, <=50K
60, Private, 10th,6, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Private, 10th,6, Widowed, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
60, Private, 10th,6, Widowed, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
57, Private, 10th,6, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, 10th,6, Widowed, Other-service, Not-in-family, Black, Female,0,1980,40, United-States, <=50K
59, Private, 10th,6, Widowed, Other-service, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
51, Self-emp-not-inc, 10th,6, Widowed, Transport-moving, Other-relative, White, Female,0,0,40, United-States, <=50K
62, Private, 10th,6, Widowed, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
56, Private, 10th,6, Widowed, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
75, Private, 10th,6, Widowed, Priv-house-serv, Not-in-family, White, Female,0,0,70, United-States, <=50K
52, Private, 11th,7, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
65, Private, 11th,7, Widowed, Other-service, Unmarried, Other, Male,0,0,40, United-States, <=50K
60, Private, 11th,7, Widowed, Transport-moving, Unmarried, Black, Male,0,0,40, United-States, <=50K
61, State-gov, 11th,7, Widowed, Other-service, Unmarried, White, Female,0,0,32, United-States, >50K
56, Self-emp-not-inc, 11th,7, Widowed, Other-service, Unmarried, White, Female,0,0,65, Greece, >50K
65, Private, 11th,7, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,8, United-States, <=50K
53, Private, 11th,7, Widowed, Other-service, Own-child, White, Female,0,0,47, United-States, <=50K
46, Private, 11th,7, Widowed, Other-service, Not-in-family, White, Female,0,0,27, El-Salvador, <=50K
36, Private, 11th,7, Widowed, Other-service, Unmarried, Black, Female,0,0,12, United-States, <=50K
64, Private, 11th,7, Widowed, Tech-support, Unmarried, White, Female,0,0,16, United-States, <=50K
65, Private, 11th,7, Widowed, Sales, Other-relative, White, Female,0,0,20, United-States, <=50K
67, Private, 11th,7, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
69, Federal-gov, 11th,7, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
45, Private, 11th,7, Widowed, Other-service, Not-in-family, Black, Female,0,0,20, United-States, <=50K
63, Private, 11th,7, Widowed, Sales, Not-in-family, White, Female,2176,0,30, United-States, <=50K
53, Self-emp-inc, 11th,7, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
61, Private, 11th,7, Widowed, Handlers-cleaners, Not-in-family, White, Female,0,0,30, United-States, <=50K
22, Private, 11th,7, Widowed, Sales, Own-child, Black, Female,0,0,35, United-States, <=50K
72, Private, 11th,7, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
45, Private, 11th,7, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
55, Private, 11th,7, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Federal-gov, 11th,7, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Private, 11th,7, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
45, Private, 11th,7, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private, 11th,7, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Private, 11th,7, Widowed, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
67, Private, 11th,7, Widowed, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
64, Private, 11th,7, Widowed, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
55, Private, 11th,7, Widowed, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
51, Private, 11th,7, Widowed, Handlers-cleaners, Unmarried, Black, Female,0,0,40, United-States, <=50K
50, Private, 11th,7, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
58, Private, 11th,7, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
79, Self-emp-inc, 12th,8, Widowed, Sales, Not-in-family, White, Male,18481,0,45, United-States, >50K
65, Local-gov, 12th,8, Widowed, Exec-managerial, Not-in-family, White, Male,2009,0,44, United-States, <=50K
68, Private, 12th,8, Widowed, Sales, Not-in-family, White, Female,0,0,30, United-States, <=50K
63, Private, 12th,8, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
55, Local-gov, 12th,8, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
56, Private, 12th,8, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
56, Self-emp-inc, 12th,8, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, 12th,8, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,40, Italy, <=50K
48, Private, 12th,8, Widowed, Handlers-cleaners, Unmarried, White, Female,0,0,50, United-States, <=50K
58, Local-gov, 1st-4th,2, Widowed, Handlers-cleaners, Unmarried, Black, Male,0,0,40, United-States, <=50K
81, Self-emp-not-inc, 1st-4th,2, Widowed, Sales, Other-relative, White, Male,0,0,45, Mexico, <=50K
43, Private, 1st-4th,2, Widowed, Prof-specialty, Unmarried, White, Female,0,0,21, Mexico, <=50K
69, Private, 1st-4th,2, Widowed, Priv-house-serv, Not-in-family, Black, Female,0,0,4, United-States, <=50K
67, Private, 1st-4th,2, Widowed, Machine-op-inspct, Not-in-family, White, Female,2062,0,34, Ecuador, <=50K
74, Private, 1st-4th,2, Widowed, Priv-house-serv, Not-in-family, Black, Female,0,0,15, United-States, <=50K
67, Self-emp-not-inc, 1st-4th,2, Widowed, Other-service, Not-in-family, Black, Female,0,0,20, United-States, <=50K
81, State-gov, 1st-4th,2, Widowed, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
36, Private, 1st-4th,2, Widowed, Other-service, Other-relative, White, Female,0,0,20, Mexico, <=50K
63, Self-emp-not-inc, 1st-4th,2, Widowed, Other-service, Unmarried, White, Female,0,0,30, El-Salvador, <=50K
46, Private, 1st-4th,2, Widowed, Other-service, Unmarried, Other, Female,0,0,30, Mexico, <=50K
57, Private, 1st-4th,2, Widowed, Priv-house-serv, Not-in-family, Black, Female,0,0,30, United-States, <=50K
51, Private, 1st-4th,2, Widowed, Other-service, Unmarried, White, Female,0,0,35, Portugal, <=50K
61, Private, 1st-4th,2, Widowed, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
63, Private, 1st-4th,2, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,44, Portugal, <=50K
57, Self-emp-not-inc, 1st-4th,2, Widowed, Craft-repair, Other-relative, White, Female,0,1602,45, Columbia, <=50K
75, Private, 5th-6th,3, Widowed, Other-service, Unmarried, Black, Male,0,0,10, United-States, <=50K
82, Private, 5th-6th,3, Widowed, Other-service, Unmarried, White, Male,0,0,20, United-States, <=50K
63, Private, 5th-6th,3, Widowed, Other-service, Other-relative, Asian-Pac-Islander, Female,0,0,19, Philippines, <=50K
71, Private, 5th-6th,3, Widowed, Priv-house-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,75, United-States, <=50K
65, Private, 5th-6th,3, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,10, Italy, <=50K
64, Private, 5th-6th,3, Widowed, Other-service, Not-in-family, Black, Female,0,0,16, United-States, <=50K
52, Private, 5th-6th,3, Widowed, Other-service, Unmarried, White, Female,0,0,40, Mexico, <=50K
70, Private, 5th-6th,3, Widowed, Other-service, Other-relative, White, Female,2346,0,40, ?, <=50K
55, Private, 5th-6th,3, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
71, Private, 7th-8th,4, Widowed, Exec-managerial, Not-in-family, White, Male,6097,0,40, United-States, >50K
71, Private, 7th-8th,4, Widowed, Transport-moving, Not-in-family, White, Male,0,0,10, United-States, <=50K
56, Private, 7th-8th,4, Widowed, Transport-moving, Not-in-family, White, Male,0,0,20, United-States, <=50K
54, Private, 7th-8th,4, Widowed, Other-service, Unmarried, White, Male,0,0,30, United-States, <=50K
76, Private, 7th-8th,4, Widowed, Protective-serv, Not-in-family, White, Male,0,0,30, United-States, <=50K
80, Self-emp-not-inc, 7th-8th,4, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,35, United-States, <=50K
42, Private, 7th-8th,4, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
61, Private, 7th-8th,4, Widowed, Farming-fishing, Not-in-family, Black, Male,0,0,40, United-States, <=50K
66, Self-emp-not-inc, 7th-8th,4, Widowed, Farming-fishing, Unmarried, White, Male,0,0,50, United-States, <=50K
57, Private, 7th-8th,4, Widowed, Sales, Other-relative, White, Female,0,1602,3, United-States, <=50K
35, Private, 7th-8th,4, Widowed, Other-service, Unmarried, White, Female,0,0,80, United-States, <=50K
62, Self-emp-not-inc, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,66, United-States, <=50K
61, Private, 7th-8th,4, Widowed, Other-service, Not-in-family, Black, Female,0,0,21, United-States, <=50K
72, Private, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,99, ?, <=50K
63, Private, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,41, United-States, <=50K
77, Private, 7th-8th,4, Widowed, Priv-house-serv, Unmarried, White, Female,0,0,23, United-States, <=50K
66, Private, 7th-8th,4, Widowed, Other-service, Not-in-family, Black, Female,0,0,10, United-States, <=50K
57, Private, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,10, United-States, <=50K
63, Self-emp-not-inc, 7th-8th,4, Widowed, Farming-fishing, Unmarried, White, Female,0,0,10, United-States, <=50K
68, Private, 7th-8th,4, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,10, United-States, <=50K
76, Private, 7th-8th,4, Widowed, Protective-serv, Not-in-family, White, Female,0,0,12, United-States, <=50K
55, Private, 7th-8th,4, Widowed, Other-service, Unmarried, White, Female,0,0,20, ?, <=50K
68, Private, 7th-8th,4, Widowed, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
67, Local-gov, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
66, Local-gov, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
66, Private, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,20, Germany, <=50K
74, State-gov, 7th-8th,4, Widowed, Handlers-cleaners, Not-in-family, White, Female,0,0,20, United-States, <=50K
80, Private, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,24, United-States, <=50K
65, State-gov, 7th-8th,4, Widowed, Other-service, Other-relative, White, Female,0,0,24, United-States, <=50K
76, Private, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
64, Federal-gov, 7th-8th,4, Widowed, Other-service, Unmarried, White, Female,0,0,30, Puerto-Rico, <=50K
58, Private, 7th-8th,4, Widowed, Other-service, Not-in-family, Other, Female,0,0,30, United-States, <=50K
79, Private, 7th-8th,4, Widowed, Priv-house-serv, Not-in-family, White, Female,2964,0,30, United-States, <=50K
31, Private, 7th-8th,4, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
62, Local-gov, 7th-8th,4, Widowed, Other-service, Not-in-family, Black, Female,0,0,35, United-States, <=50K
70, Private, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
62, Self-emp-not-inc, 7th-8th,4, Widowed, Farming-fishing, Other-relative, White, Female,0,0,35, United-States, <=50K
61, Private, 7th-8th,4, Widowed, Other-service, Unmarried, Black, Female,0,0,38, United-States, <=50K
70, Private, 7th-8th,4, Widowed, Other-service, Unmarried, Black, Female,0,0,38, United-States, <=50K
51, Private, 7th-8th,4, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
52, Private, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
76, Private, 7th-8th,4, Widowed, Priv-house-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
57, Private, 7th-8th,4, Widowed, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
56, Private, 7th-8th,4, Widowed, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Dominican-Republic, <=50K
62, Private, 7th-8th,4, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Private, 7th-8th,4, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
49, Private, 7th-8th,4, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
58, Private, 7th-8th,4, Widowed, Farming-fishing, Other-relative, White, Female,0,0,45, Guatemala, <=50K
65, Without-pay, 7th-8th,4, Widowed, Farming-fishing, Unmarried, White, Female,0,0,50, United-States, <=50K
58, Private, HS-grad,9, Widowed, Craft-repair, Unmarried, White, Male,8614,0,52, Mexico, >50K
75, Self-emp-inc, HS-grad,9, Widowed, Sales, Other-relative, Asian-Pac-Islander, Male,0,0,35, United-States, >50K
67, Private, HS-grad,9, Widowed, Exec-managerial, Unmarried, White, Male,0,0,38, United-States, >50K
53, Private, HS-grad,9, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, United-States, >50K
45, Local-gov, HS-grad,9, Widowed, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, >50K
57, Private, HS-grad,9, Widowed, Transport-moving, Unmarried, White, Male,0,653,42, United-States, >50K
78, Self-emp-inc, HS-grad,9, Widowed, Sales, Not-in-family, White, Male,0,0,45, United-States, >50K
63, Private, HS-grad,9, Widowed, Exec-managerial, Unmarried, White, Male,0,0,50, United-States, >50K
57, Self-emp-not-inc, HS-grad,9, Widowed, Craft-repair, Not-in-family, White, Male,0,0,55, United-States, >50K
69, Private, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Male,0,0,8, United-States, <=50K
76, Private, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,6, United-States, <=50K
74, Federal-gov, HS-grad,9, Widowed, Other-service, Not-in-family, White, Male,0,0,17, United-States, <=50K
76, Private, HS-grad,9, Widowed, Other-service, Not-in-family, White, Male,0,0,17, United-States, <=50K
71, Federal-gov, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,9, United-States, <=50K
83, Self-emp-not-inc, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,8, United-States, <=50K
63, Private, HS-grad,9, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,6, United-States, <=50K
58, Self-emp-not-inc, HS-grad,9, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,80, United-States, <=50K
90, Private, HS-grad,9, Widowed, Transport-moving, Unmarried, White, Male,0,0,99, United-States, <=50K
34, Private, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Male,0,0,15, United-States, <=50K
66, Private, HS-grad,9, Widowed, Craft-repair, Not-in-family, White, Male,0,0,16, United-States, <=50K
66, Self-emp-not-inc, HS-grad,9, Widowed, Craft-repair, Not-in-family, White, Male,0,0,20, United-States, <=50K
74, Self-emp-not-inc, HS-grad,9, Widowed, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
68, Local-gov, HS-grad,9, Widowed, Protective-serv, Not-in-family, White, Male,0,1668,20, United-States, <=50K
73, Self-emp-not-inc, HS-grad,9, Widowed, Craft-repair, Not-in-family, White, Male,0,0,24, United-States, <=50K
51, Private, HS-grad,9, Widowed, Handlers-cleaners, Not-in-family, White, Male,0,0,30, United-States, <=50K
67, Private, HS-grad,9, Widowed, Handlers-cleaners, Other-relative, Black, Male,0,0,32, United-States, <=50K
85, Private, HS-grad,9, Widowed, Sales, Unmarried, White, Male,0,0,35, United-States, <=50K
54, Self-emp-not-inc, HS-grad,9, Widowed, Craft-repair, Not-in-family, White, Male,0,2001,35, United-States, <=50K
58, Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Male,0,0,38, United-States, <=50K
42, Private, HS-grad,9, Widowed, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, HS-grad,9, Widowed, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad,9, Widowed, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
58, Private, HS-grad,9, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
62, Private, HS-grad,9, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
59, Local-gov, HS-grad,9, Widowed, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
52, Private, HS-grad,9, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad,9, Widowed, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad,9, Widowed, Other-service, Unmarried, Black, Male,0,0,40, United-States, <=50K
67, Federal-gov, HS-grad,9, Widowed, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
64, Local-gov, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad,9, Widowed, Exec-managerial, Other-relative, White, Male,914,0,40, United-States, <=50K
59, Local-gov, HS-grad,9, Widowed, Farming-fishing, Unmarried, White, Male,0,2339,40, United-States, <=50K
49, Local-gov, HS-grad,9, Widowed, Protective-serv, Not-in-family, Black, Male,0,0,40, United-States, <=50K
51, Private, HS-grad,9, Widowed, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad,9, Widowed, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad,9, Widowed, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Private, HS-grad,9, Widowed, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad,9, Widowed, Handlers-cleaners, Unmarried, White, Male,0,0,40, ?, <=50K
63, Federal-gov, HS-grad,9, Widowed, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
54, Private, HS-grad,9, Widowed, Machine-op-inspct, Unmarried, White, Male,914,0,40, United-States, <=50K
69, Private, HS-grad,9, Widowed, Machine-op-inspct, Unmarried, White, Male,2538,0,40, United-States, <=50K
45, Private, HS-grad,9, Widowed, Machine-op-inspct, Unmarried, Other, Male,0,0,40, Columbia, <=50K
53, Private, HS-grad,9, Widowed, Machine-op-inspct, Not-in-family, White, Male,6849,0,40, United-States, <=50K
58, Self-emp-not-inc, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
57, Private, HS-grad,9, Widowed, Transport-moving, Unmarried, White, Male,0,0,50, United-States, <=50K
49, Self-emp-not-inc, HS-grad,9, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,55, United-States, <=50K
83, Private, HS-grad,9, Widowed, Protective-serv, Not-in-family, White, Male,0,0,55, United-States, <=50K
67, Self-emp-not-inc, HS-grad,9, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,65, United-States, <=50K
63, Self-emp-not-inc, HS-grad,9, Widowed, Sales, Not-in-family, White, Male,0,0,70, United-States, <=50K
50, Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,2444,72, United-States, >50K
68, Private, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,10, United-States, >50K
67, Private, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,15831,0,16, Germany, >50K
58, Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,35, United-States, >50K
58, Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,35, United-States, >50K
66, Local-gov, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, >50K
66, Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
56, Self-emp-not-inc, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,99999,0,40, United-States, >50K
74, Private, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,15831,0,40, United-States, >50K
58, Private, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, >50K
52, Private, HS-grad,9, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, India, >50K
67, Self-emp-inc, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Female,15831,0,40, United-States, >50K
64, Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,8614,0,50, France, >50K
